INFO 2025-05-04 15:50:53,069 autoreload Watching for file changes with StatReloader
WARNING 2025-05-04 16:08:58,609 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:09:54,781 log Forbidden: /api/events/
WARNING 2025-05-04 16:09:54,783 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:09:54,788 log Forbidden: /api/events/
WARNING 2025-05-04 16:09:54,789 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:09:55,843 log Forbidden: /api/events/
WARNING 2025-05-04 16:09:55,845 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:09:55,868 log Forbidden: /api/events/
WARNING 2025-05-04 16:09:55,871 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:09:57,890 log Forbidden: /api/events/
WARNING 2025-05-04 16:09:57,892 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:09:57,943 log Forbidden: /api/events/
WARNING 2025-05-04 16:09:57,944 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:10:16,687 log Forbidden: /api/events/
WARNING 2025-05-04 16:10:16,689 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:10:16,725 log Forbidden: /api/events/
WARNING 2025-05-04 16:10:16,728 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:10:17,769 log Forbidden: /api/events/
WARNING 2025-05-04 16:10:17,773 log Forbidden: /api/events/
WARNING 2025-05-04 16:10:17,774 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:10:17,776 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:10:19,869 log Forbidden: /api/events/
WARNING 2025-05-04 16:10:19,875 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:10:19,877 log Forbidden: /api/events/
WARNING 2025-05-04 16:10:19,882 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:10:54,758 log Forbidden: /api/events/
WARNING 2025-05-04 16:10:54,760 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:10:54,784 log Forbidden: /api/events/
WARNING 2025-05-04 16:10:54,786 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:10:55,857 log Forbidden: /api/events/
WARNING 2025-05-04 16:10:55,860 log Forbidden: /api/events/
WARNING 2025-05-04 16:10:55,861 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:10:55,861 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:10:57,910 log Forbidden: /api/events/
WARNING 2025-05-04 16:10:57,911 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:10:57,960 log Forbidden: /api/events/
WARNING 2025-05-04 16:10:57,962 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:11:57,426 log Forbidden: /api/events/
WARNING 2025-05-04 16:11:57,428 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:11:57,429 log Forbidden: /api/events/
WARNING 2025-05-04 16:11:57,435 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:11:58,483 log Forbidden: /api/events/
WARNING 2025-05-04 16:11:58,484 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:11:58,508 log Forbidden: /api/events/
WARNING 2025-05-04 16:11:58,510 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:12:00,525 log Forbidden: /api/events/
WARNING 2025-05-04 16:12:00,527 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:12:00,554 log Forbidden: /api/events/
WARNING 2025-05-04 16:12:00,558 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:12:54,808 log Forbidden: /api/events/
WARNING 2025-05-04 16:12:54,812 log Forbidden: /api/events/
WARNING 2025-05-04 16:12:54,813 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:12:54,815 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:12:55,911 log Forbidden: /api/events/
WARNING 2025-05-04 16:12:55,915 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:12:55,949 log Forbidden: /api/events/
WARNING 2025-05-04 16:12:55,952 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:12:58,152 log Forbidden: /api/events/
WARNING 2025-05-04 16:12:58,154 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:12:58,158 log Forbidden: /api/events/
WARNING 2025-05-04 16:12:58,161 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:13:54,749 log Forbidden: /api/events/
WARNING 2025-05-04 16:13:54,750 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:13:54,776 log Forbidden: /api/events/
WARNING 2025-05-04 16:13:54,778 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:13:56,309 log Forbidden: /api/events/
WARNING 2025-05-04 16:13:56,312 log Forbidden: /api/events/
WARNING 2025-05-04 16:13:56,313 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:13:56,313 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:13:58,465 log Forbidden: /api/events/
WARNING 2025-05-04 16:13:58,470 log Forbidden: /api/events/
WARNING 2025-05-04 16:13:58,471 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:13:58,474 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:14:54,906 log Forbidden: /api/events/
WARNING 2025-05-04 16:14:54,909 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:14:54,942 log Forbidden: /api/events/
WARNING 2025-05-04 16:14:54,944 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:14:56,007 log Forbidden: /api/events/
WARNING 2025-05-04 16:14:56,008 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:14:56,050 log Forbidden: /api/events/
WARNING 2025-05-04 16:14:56,051 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:14:58,165 log Forbidden: /api/events/
WARNING 2025-05-04 16:14:58,166 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:14:58,169 log Forbidden: /api/events/
